source,pui,pmid,doi,title,year,journal,authors,pubtype,issn,volume,issue,pages
embase,2042907535,41624861,10.3389/fimmu.2025.1731011,Aberrant systemic acute-phase complement responses in conjunction with soluble CR1 attribute to varying grades of dengue disease severity,2026,Frontiers in Immunology,"Anshad, A.R.; Saravanan, S.; Murugesan, A.; Vighnesh, R.; Raju, S.; Kannan, R.; Yong, Y.K.; Larsson, M.; Shankar, E.M.",Article,16643224,16,,1731011
embase,2043543540,41557724,10.1371/journal.pntd.0013883,"Tracking the clinico-microbiological profile and molecular characterization of dengue cases during the monsoon-season in Belagavi, Karnataka",2026,PLOS Neglected Tropical Diseases,"Patil, R.; Kavathekar, A.; Prabhu, M.; Patil, M.; Kejriwal, A.; Zaman, K.; Bhat, J.; Roy, S.",Article,19352735,20,1,e0013883
embase,2043995798,,10.18231/j.ijmmtd.14789.1769853200,Alteration of hematological and biochemical parameters in dengue: Implication for patient management,2026,IP International Journal of Medical Microbiology and Tropical Diseases,"Gupta, P.K.; Bisht, D.; Aggarwal, V.; Dhandayuthapani, S.",Article,25814761,12,1,
embase,2043996067,,10.18231/j.ijmmtd.13488.1767776891,Comparison of ELFA and ELISA in diagnosis of early dengue infection among suspected cases of acute febrile illness attending a tertiary care hospital,2026,IP International Journal of Medical Microbiology and Tropical Diseases,"Urs, T.A.; Sri Vidya, M.S.; Chinchana, E.S.; Badveti, S.; Vasimalli, V.K.",Article,25814761,12,1,
embase,2045337717,,10.25258/ijcpr.18.2.98,Original Research article: Study of Evaluation of a Novel Commercial Rapid Test for Early Detection of Acute Dengue Infection,2026,International Journal of Current Pharmaceutical Review and Research,"Bhalsod, A.; Tilwani, K.; Shah, S.N.",Article,0976822X,18,2,
embase,2045879524,,10.18231/j.ijmmtd.15541.1775291899,"Early diagnosis of dengue fever in a tertiary care hospital, India-A cross-sectional study",2026,IP International Journal of Medical Microbiology and Tropical Diseases,"Gogoi, R.; Choudhury, G.; Nath, A.",Article,25814761,12,2,
embase,2047556428,42148577,10.1128/spectrum.03669-25,"Multicenter evaluation of a single-device dengue antibody/antigen rapid test for simultaneous detection of NS1, IgM, and IgG",2026,Microbiology Spectrum ,"Zhao, Z.; Shincy, M.R.; Teoh, L.S.; Ravikumar, K.L.; Ong, H.; Mak, M.; Du, Y.; Alam, M.S.; Xu, N.",Article,21650497,14,7,
embase,2047871450,,10.21276/amit.2026.v13.i1.596,"Assessment of Molecular Prevalence of Dengue Serotypes Among the Viremia Cases of YSR Kadapa District of Andhra Pradesh, India by TaqMan Assay",2026,Acta Medica International,"Kumar, B.G.R.; Srilatha, B.N.; Geetanjali, T.; Mohiddin, S.K.",Article,23490896,13,1,
embase,2047954521,,10.25258/ijpqa.17.7.18,Study of Correlation of Platelet Indices for Prognostication In Viral Hemorrhagic Fever In Pediatric Age Group,2026,International Journal of Pharmaceutical Quality Assurance,"Farheen, G.; Sushmitha, J.; Biradar, S.P.",Article,09759506,17,7,
embase,2047960754,,10.25258/ijddt.16.73s.34,Association of Severity of Dengue Fever with Gallbladder Wall Thickness: A Cross-Sectional Observational Study at a Tertiary Care Hospital,2026,International Journal of Drug Delivery Technology,"Jayanandini, R.; Revathy, E.; Subbulakshmi, S.; Suresh, K.",Article,09754415,16,73,
embase,649893858,41516578,10.3390/s26010145,"Next-Generation Diagnostic Technologies for Dengue Virus Detection: Microfluidics, Biosensing, CRISPR, and AI Approaches",2025,"Sensors (Basel, Switzerland)","El Kabbani, S.; Saleh, G.",Review,14248220,26,1,
embase,2040935313,41241478,10.1016/j.aca.2025.344756,Biowaste-derived gold nanoparticles on reduced graphene oxide: An innovative nanoplatform for the label-free immunosensing of dengue NS1,2025,Analytica Chimica Acta,"Parkhe, V.; Ghatage, M.; Rokade, K.; Dongale, T.; Song, L.; Bulakhe, R.N.; Kim, J.M.; Tiwari, A.P.",Article,18734324,1380,,344756
embase,2032604345,39674822,10.1007/s00430-024-00810-2,Significance of diagnostic and therapeutic potential of serum endothelial and inflammatory biomarkers in defining disease severity of dengue infected patients,2025,Medical Microbiology and Immunology,"Ghosh, P.; Saha, B.; Kaveri, K.; Tripathi, A.",Article,14321831,214,1,3
embase,2032809916,39747846,10.1038/s41467-024-53916-9,Dengue virus IgG and neutralizing antibody titers measured with standard and mature viruses are protective,2025,Nature Communications ,"Odio, C.D.; Daag, J.V.; Crisostomo, M.V.; Voirin, C.J.; Coello Escoto, A.; Adams, C.; Dahora Hein, L.; Aogo, R.A.; Mpingabo, P.I.; Raimundi Rodriguez, G.; Firdous, S.; Abad Fernandez, M.; White, L.J.; Agrupis, K.A.; Deen, J.; de Silva, A.M.; Ylade, M.; Katzelnick, L.C.",Article,20411723,16,1,191
embase,2033131771,39891046,10.1186/s12879-025-10544-y,Risk factors for dengue mortality: a 7-year retrospective cohort in Honduras,2025,BMC Infectious Diseases,"Sauceda-Acosta, D.; Almendares, S.P.P.; Cárcamo, E.; Zúniga-Gutiérrez, M.; Beltrán, B.; Rivera, M.F.; Rodríguez, M.M.; Enamorado, J.",Article,14712334,25,1,147
embase,2033370512,39972499,10.1186/s12929-025-01122-0,The zinc finger protein ZFP36L2 inhibits flavivirus infection via the 5′-3′ XRN1-mediated RNA decay pathway in the replication complexes,2025,Journal of Biomedical Science,"Lin, R.-J.; Lin, L.-H.; Chen, Z.-P.; Liu, B.-C.; Ko, P.-C.; Liao, C.-L.",Article,14230127,32,1,27
embase,2033370513,39972477,10.1186/s12929-024-01116-4,A non-structural protein 1 substitution of dengue virus enhances viral replication by interfering with the antiviral signaling pathway,2025,Journal of Biomedical Science,"Hee, J.-R.; Cheng, D.; Chen, Y.-H.; Wang, S.-H.; Chao, C.-H.; Huang, S.-W.; Ling, P.; Wan, S.-W.; Chang, C.-P.; Chu, J.J.H.; Yeh, T.-M.; Wang, J.-R.",Article,14230127,32,1,25
embase,2036394584,41023869,10.1186/s12879-025-11617-8,Detection of probable hantavirus infections in clinically suspected dengue patients in a tertiary care hospital in Sri Lanka,2025,BMC Infectious Diseases,"Ekanayake, E.; Govinna, M.; Wakkumbura, S.; Samarajeewa, Y.; Arachchige, N.; Weerathunga, A.; Rajamanthri, L.; Ranawaka, G.; Pattiyakumbura, T.; Dasanayake, D.; Muthugala, R.",Article,14712334,25,1,1193
embase,2041056163,41183705,10.1016/j.jim.2025.114000,Development of a sensitive sandwich ELISA for the envelope domain III protein of dengue virus type 2,2025,Journal of Immunological Methods,"Ma, Z.; Su, J.; Han, Z.; Ren, X.; Guo, J.; Jiang, L.; Zhao, S.",Article,18727905,545,,114000
embase,2042113991,41440283,10.3390/bios15120802,An Improved Dengue Virus Serotype-Specific Non-Structural Protein 1 Capture Immunochromatography Method with Reduced Sample Volume,2025,Biosensors,"Sretapunya, W.; Buranachat, T.; Prasomthong, M.; Tantikorn, R.; Sa-ngarsang, A.; Naemkhunthot, S.; Meephaendee, L.; Wongjaroen, P.; Tanaka, C.; Shimadzu, Y.; Ogata, K.; Kaihatsu, K.; Morita, R.; Shirano, M.; Phadungsombat, J.; Sasaki, T.; Kubota-Koketsu, R.; Samune, Y.; Nakayama, E.E.; Shioda, T.",Article,20796374,15,12,802
embase,2042576459,,10.24171/j.phrp.2025.0254,Early detection of dengue through rapid diagnostic testing at airport quarantine: a case study from the Republic of Korea (2022–2024),2025,Osong Public Health and Research Perspectives,"Do, K.H.; Oh, J.W.",Article,22336052,16,6,
